city,confirmed,deaths,order_for_place,estimated_population_2019,confirmed_per_100k_inhabitants,death_rate
Angra dos Reis,5634,190,186,203785.0,2764.67846,0.0337
Aperibé,190,7,162,11759.0,1615.78366,0.0368
Araruama,1517,67,182,132400.0,1145.7703900000001,0.0442
Areal,219,8,170,12572.0,1741.96627,0.0365
Armação dos Búzios,484,14,171,33870.0,1428.9932099999999,0.0289
Arraial do Cabo,187,6,184,30349.0,616.1652799999999,0.0321
Barra Mansa,3113,161,203,184412.0,1688.06802,0.0517
Barra do Piraí,1141,58,182,100374.0,1136.74856,0.0508
Belford Roxo,9922,297,190,510906.0,1942.0402199999999,0.0299
Bom Jardim,184,4,178,27446.0,670.40735,0.0217
Bom Jesus do Itabapoana,800,23,175,37096.0,2156.56675,0.0288
Cabo Frio,2576,147,178,226525.0,1137.1813300000001,0.0571
Cachoeiras de Macacu,608,31,175,58937.0,1031.6100199999998,0.051
Cambuci,199,5,141,15505.0,1283.45695,0.0251
Campos dos Goytacazes,6233,387,192,507548.0,1228.0611900000001,0.0621
Cantagalo,272,2,176,20172.0,1348.40373,0.0074
Carapebus,302,4,170,16301.0,1852.6470800000002,0.0132
Cardoso Moreira,360,2,147,12823.0,2807.45535,0.0056
Carmo,213,4,153,18895.0,1127.28235,0.0188
Casimiro de Abreu,967,24,178,44184.0,2188.57505,0.0248
Comendador Levy Gasparian,162,3,137,8561.0,1892.3023,0.0185
Conceição de Macabu,695,15,163,23228.0,2992.0785300000002,0.0216
Cordeiro,335,1,159,21926.0,1527.86646,0.003
Duas Barras,74,3,128,11492.0,643.92621,0.0405
Duque de Caxias,9886,723,192,919596.0,1075.0373,0.0731
Engenheiro Paulo de Frontin,172,3,150,14002.0,1228.39594,0.0174
Guapimirim,1871,65,197,60517.0,3091.69324,0.0347
Iguaba Grande,704,36,182,28310.0,2486.7538,0.0511
Importados/Indefinidos,0,0,195,,,0.0
Itaboraí,4638,222,189,240592.0,1927.7449,0.0479
Itaguaí,2460,125,183,133019.0,1849.35987,0.0508
Italva,358,12,158,15207.0,2354.179,0.0335
Itaocara,361,25,154,23234.0,1553.75742,0.0693
Itaperuna,2865,72,180,103224.0,2775.51732,0.0251
Itatiaia,385,12,175,31805.0,1210.50149,0.0312
Japeri,468,32,178,104768.0,446.70128,0.0684
Laje do Muriaé,276,1,144,7355.0,3752.54929,0.0036
Macaé,8344,153,185,256672.0,3250.84154,0.0183
Macuco,104,3,162,5599.0,1857.47455,0.0288
Magé,3894,229,183,245071.0,1588.92729,0.0588
Mangaratiba,837,38,188,44468.0,1882.25241,0.0454
Maricá,3627,125,187,161207.0,2249.9023,0.0345
Mendes,216,2,170,18614.0,1160.41689,0.0093
Mesquita,1540,179,183,176103.0,874.48823,0.1162
Miguel Pereira,275,14,196,25538.0,1076.82669,0.0509
Miracema,467,5,155,27174.0,1718.5545,0.0107
Natividade,593,5,147,15317.0,3871.51531,0.0084
Nilópolis,1389,189,182,162485.0,854.8481400000001,0.1361
Niterói,13696,444,200,513584.0,2666.7497399999997,0.0324
Nova Friburgo,3255,136,181,190631.0,1707.48724,0.0418
Nova Iguaçu,6671,605,188,821128.0,812.41901,0.0907
Paracambi,740,34,175,52257.0,1416.07823,0.0459
Paraty,896,34,176,43165.0,2075.75582,0.0379
Paraíba do Sul,990,24,181,44285.0,2235.51993,0.0242
Paty do Alferes,178,5,176,27769.0,641.00256,0.0281
Petrópolis,2546,221,195,306191.0,831.50713,0.0868
Pinheiral,508,16,167,25156.0,2019.39895,0.0315
Piraí,716,13,173,29277.0,2445.60577,0.0182
Porciúncula,631,19,182,18847.0,3348.01295,0.0301
Porto Real,428,17,178,19683.0,2174.46527,0.0397
Quatis,158,2,178,14302.0,1104.7406,0.0127
Queimados,2474,67,186,150319.0,1645.83319,0.0271
Quissamã,474,17,170,24700.0,1919.0283399999998,0.0359
Resende,2394,94,191,131341.0,1822.73624,0.0393
Rio Bonito,1896,60,186,60201.0,3149.4493399999997,0.0316
Rio Claro,298,15,139,18529.0,1608.28971,0.0503
Rio das Flores,23,4,177,9284.0,247.73803999999998,0.1739
Rio das Ostras,2004,81,187,150674.0,1330.02376,0.0404
Rio de Janeiro,107643,11118,202,6718903.0,1602.0918900000001,0.1033
Santa Maria Madalena,106,5,159,10404.0,1018.8389099999999,0.0472
Santo Antônio de Pádua,1153,19,165,42479.0,2714.28235,0.0165
Sapucaia,535,27,178,18228.0,2935.04499,0.0505
Saquarema,1128,65,173,89170.0,1264.99944,0.0576
Seropédica,774,59,187,82312.0,940.32462,0.0762
Silva Jardim,156,9,170,21774.0,716.4508099999999,0.0577
Sumidouro,172,12,176,15623.0,1100.94092,0.0698
São Fidélis,255,23,173,38669.0,659.44296,0.0902
São Francisco de Itabapoana,596,22,175,42205.0,1412.15496,0.0369
São Gonçalo,12508,726,193,1084839.0,1152.98215,0.058
São José de Ubá,140,3,159,7171.0,1952.3079100000002,0.0214
São José do Vale do Rio Preto,474,19,158,21795.0,2174.81074,0.0401
São João da Barra,1071,12,180,36102.0,2966.59465,0.0112
São João de Meriti,3469,454,186,472406.0,734.32598,0.1309
São Pedro da Aldeia,1293,51,185,104476.0,1237.60481,0.0394
São Sebastião do Alto,48,1,161,9357.0,512.98493,0.0208
Tanguá,861,42,180,34309.0,2509.5456,0.0488
Teresópolis,6160,148,186,182594.0,3373.6048299999998,0.024
Trajano de Moraes,62,0,180,10626.0,583.4745,0.0
Três Rios,2888,65,182,81804.0,3530.38971,0.0225
Valença,653,18,191,76523.0,853.33821,0.0276
Varre-Sai,645,2,137,11000.0,5863.63636,0.0031
Vassouras,766,26,162,36896.0,2076.10581,0.0339
Volta Redonda,6689,213,192,273012.0,2450.07545,0.0318
